tool,inner_node,node_type,parm_family,n_referenced,n_in_family,confidence,literals,referenced
AB::HardwareMaker::2.0,/obj/AnalysisHolder/probe_63/CreateLocks/Lock_001/polybevel11,polybevel::3.0,,2,6,medium,grouptype=2 profileramp1value=0.5 profileramp1interp=2 profileramp2pos=1 profileramp2value=0.5 profileramp2interp=2,divisions offset
AB::HardwareMaker::2.0,/obj/AnalysisHolder/probe_63/CreateLocks/Lock_001/polyextrude15,polyextrude::2.0,,1,11,medium,dist=0.005 thicknessramp1value=1 thicknessramp1interp=2 thicknessramp2pos=1 thicknessramp2value=1 thicknessramp2interp=2 twistramp1value=0.5 twistramp1interp=2 twistramp2pos=1 twistramp2value=0.5 twistramp2interp=2,inset
AB::HardwareMaker::2.0,/obj/AnalysisHolder/probe_63/CreateLocks/Lock_001/divide3,divide,,2,1,medium,numsides=4,sizey sizez
AB::HardwareMaker::2.0,/obj/AnalysisHolder/probe_63/CreateLocks/Lock_001/transform1,xform,s,2,2,high,sx=0 parmgroup_pivotxform=1,sy sz
AB::HayBaleGenerator::1.0,/obj/AnalysisHolder/probe_64/knife2,knife,,1,2,medium,dirx=1 diry=0,originx
AB::HayBaleGenerator::1.0,/obj/AnalysisHolder/probe_64/knife4,knife,,1,2,medium,dirx=1 diry=0,originx
AB::HayBaleGenerator::1.0,/obj/AnalysisHolder/probe_64/knife6,knife,,1,3,medium,knifeop=1 dirx=1 diry=0,originx
AB::HayBaleGenerator::1.0,/obj/AnalysisHolder/probe_64/knife7,knife,,1,2,medium,dirx=1 diry=0,originx
AB::HayBaleGenerator::1.0,/obj/AnalysisHolder/probe_64/color2,color,,3,4,medium,ramp2pos=1 ramp2cr=1 ramp2cg=1 ramp2cb=1,colorb colorg colorr
AB::HayBaleGenerator::1.0,/obj/AnalysisHolder/probe_64/mats/hay,principledshader::2.0,,5,4,medium,emitint=1 emitcolorr=0 emitcolorg=0 emitcolorb=0,baseBump_useTexture baseNormal_useTexture shop_disable_displace_shader specular_tint vm_displacebound
